s, \mum
m,t,wx,wy,hxx,hyy,hxy
8.000000,12.068966,-0.119115,2.996801,1.000000,1.000000,0.000000
8.000000,12.896552,-0.244372,1.971563,1.000000,1.000000,0.000000
8.000000,13.724138,-1.339614,2.099070,1.000000,1.000000,0.000000
8.000000,14.551724,-0.609091,2.133009,1.000000,1.000000,0.000000
8.000000,15.379310,-0.723327,1.842306,1.000000,1.000000,0.000000
8.000000,16.206897,-0.856251,1.346544,1.000000,1.000000,0.000000
9.000000,16.206897,2.905068,-1.082915,1.000000,1.000000,0.000000
9.000000,17.034483,3.464095,-0.757875,1.000000,1.000000,0.000000
9.000000,17.862069,3.985419,-1.453455,1.000000,1.000000,0.000000
9.000000,18.689655,4.364773,-1.179430,1.000000,1.000000,0.000000
9.000000,19.517241,3.986510,-0.432548,1.000000,1.000000,0.000000
10.000000,2.137931,6.994789,0.765783,1.000000,1.000000,0.000000
10.000000,2.965517,6.052918,0.569182,1.000000,1.000000,0.000000
10.000000,3.793103,5.218199,-0.052209,1.000000,1.000000,0.000000
10.000000,4.620690,4.861128,-0.475789,1.000000,1.000000,0.000000
10.000000,5.448276,4.936379,-0.316165,1.000000,1.000000,0.000000
10.000000,6.275862,5.304525,-0.566202,1.000000,1.000000,0.000000
10.000000,7.103448,5.200427,-1.001891,1.000000,1.000000,0.000000
10.000000,7.931034,4.863398,-0.720966,1.000000,1.000000,0.000000
10.000000,8.758621,4.631324,-0.810589,1.000000,1.000000,0.000000
10.000000,9.586207,4.209317,-0.842602,1.000000,1.000000,0.000000
10.000000,10.413793,3.969611,-0.354255,1.000000,1.000000,0.000000
10.000000,11.241379,3.782948,-0.568800,1.000000,1.000000,0.000000
10.000000,12.068966,4.597461,-0.792791,1.000000,1.000000,0.000000
10.000000,12.896552,5.621475,-1.018769,1.000000,1.000000,0.000000
10.000000,13.724138,5.967803,-1.531831,1.000000,1.000000,0.000000
10.000000,14.551724,5.390882,-1.053026,1.000000,1.000000,0.000000
10.000000,15.379310,4.705362,-0.877906,1.000000,1.000000,0.000000
10.000000,16.206897,4.359150,-1.320702,1.000000,1.000000,0.000000
